15;25;1;7;12;9;16;19;13;21;6;15;15;20;24;0;19;1;9;10;10;12;11;21;22;25;12;2;8;3;13;2;1;0;1;14;16;5;6;25;0;18;13;22;3;24;3;18;3;7;2;17;19;3;8;11;24;12;18;3;1;6;15;10;20;3;5
18;15;9;1;14;15;7;20;7;15;6;0;16;15;6;15;21;5;11;23;22;19;14;20;6;5;9;23;0;11;0;9;3;10;7;15;1;25;15;10;5;9;20;25;4;25;2;8;6;25;10;13;20;0;8;22;6;7;6;20;13;13;23;1;3;8;20
6;3;15;44;0;46;1;3;18;34;28;1;19;36;5;30;47;25;22;19;1;18;36;8;2;5;34;14;22;13;29;15;31;11;35;0;39;43;28;8;5;34;13;50;4;13;10;49;13;16;32;29;27;18;19;5;19;42;40;1;24;32;5;33;9;24;20
14;23;42;2;45;21;44;50;50;26;5;3;31;33;35;6;5;45;25;28;45;5;31;30;37;2;41;22;41;4;10;6;7;25;38;15;10;44;10;5;1;29;48;32;12;10;36;25;41;21;48;4;1;4;14;41;25;24;46;48;44;9;1;41;1;24;18
16;13;37;31;100;100;100;100;3;20;29;100;100;100;8;23;100;100;100;100;100;12;4;100;100;100;13;39;31;100;100;100;100;1;100;100;100;100;31;12;29;100;100;100;15;4;100;100;100;100;7;48;100;17;47;43;100;6;100;3;20;50;100;47;16;23;8
0;19;50;18;100;50;38;36;100;3;100;43;2;23;100;12;12;47;100;1;22;15;100;49;34;44;100;14;100;43;9;4;35;32;100;41;22;1;100;10;100;20;18;35;100;22;100;20;23;24;100;35;100;5;8;27;100;21;7;100;39;100;2;22;14;8;10
0;21;3;33;100;46;32;41;100;30;100;43;21;2;100;7;49;41;100;2;19;23;100;37;21;49;100;3;100;48;5;100;100;41;100;16;47;38;100;21;100;9;49;18;100;43;100;45;39;36;100;40;100;8;45;48;100;33;33;45;100;35;31;33;48;18;3
13;5;25;37;100;17;10;6;100;21;100;50;2;50;100;7;9;29;100;24;13;14;100;32;26;10;100;17;100;27;34;11;100;3;100;100;100;100;37;6;100;35;42;7;100;27;100;100;100;100;20;28;100;100;100;100;100;13;5;7;100;20;48;25;17;14;6
2;2;25;34;100;43;39;18;100;15;100;100;100;100;100;26;23;1;100;22;18;3;100;100;100;100;100;5;100;41;7;24;100;40;100;30;49;5;100;35;100;100;100;100;100;29;100;26;47;19;47;13;100;19;9;49;100;15;36;33;100;3;33;41;9;18;24
19;14;39;2;100;47;35;18;100;11;100;14;6;5;100;46;18;21;100;15;16;37;100;48;11;43;100;33;100;48;42;42;100;25;100;3;0;14;100;42;100;33;3;40;100;10;100;24;30;30;8;38;100;49;3;7;100;16;13;31;100;26;20;41;16;13;22
4;3;1;6;100;8;16;33;100;5;100;29;41;5;100;6;45;26;100;19;44;8;100;30;23;28;100;40;100;34;3;49;100;32;100;7;23;16;100;45;100;32;20;11;100;11;100;17;43;18;50;33;100;33;36;17;100;8;31;30;100;3;28;38;25;19;22
17;8;47;4;100;100;100;100;30;41;100;19;20;1;100;12;24;33;100;43;38;10;100;28;12;7;100;48;34;100;100;100;27;17;100;38;20;3;100;37;100;12;42;3;100;12;100;37;16;24;35;21;100;9;0;3;100;2;29;19;100;7;2;22;40;6;23
18;17;1;28;0;6;13;46;43;9;31;41;33;18;28;20;19;37;20;28;50;31;35;50;9;39;15;18;31;6;15;40;11;43;11;4;8;21;50;23;35;43;10;38;24;28;49;39;33;26;14;7;29;9;39;39;20;32;27;27;14;19;1;20;49;24;24
18;9;19;31;12;5;32;25;17;50;34;29;0;20;4;34;30;42;43;33;35;12;35;46;49;33;8;15;34;15;1;39;10;41;40;20;21;49;31;26;39;40;22;43;34;36;34;43;30;42;6;2;2;44;2;37;48;19;45;45;23;10;38;34;12;11;16
23;0;2;20;12;24;7;9;15;10;4;9;25;8;16;0;22;21;5;10;23;14;13;10;13;1;16;17;22;4;23;21;23;19;14;19;24;10;10;7;0;20;10;5;8;7;13;6;4;21;12;8;25;5;4;8;25;6;3;21;6;21;4;17;10;17;8
9;1;15;7;21;5;9;24;6;7;4;16;24;0;15;11;19;12;6;14;12;19;4;15;3;22;22;2;21;6;20;20;12;6;23;20;5;12;12;9;24;24;6;14;23;3;13;11;1;25;25;9;15;13;0;2;2;15;16;14;10;4;0;25;6;3;6
